date,humidity_missing,imputation
2023-01-12 12:00:00,1.49,-20.28
2023-01-12 13:00:00,1.56,3.29
2023-01-12 14:00:00,1.54,1.53
2023-01-12 15:00:00,1.54,-3.64
2023-01-12 16:00:00,1.56,-21.45
2023-01-12 17:00:00,1.46,5.29
2023-01-12 18:00:00,1.63,-11.07
2023-01-12 19:00:00,1.63,-15.26
2023-01-12 20:00:00,,1.65
2023-01-12 21:00:00,,1.66
2023-01-12 22:00:00,1.69,-5.53
2023-01-12 23:00:00,1.65,-18.89
2023-01-13 00:00:00,1.71,-9.34
2023-01-13 01:00:00,1.67,-11.75
2023-01-13 02:00:00,1.76,-21.70
2023-01-13 03:00:00,,1.74
2023-01-13 04:00:00,1.67,1.69
2023-01-13 05:00:00,1.67,-16.91
2023-01-13 06:00:00,1.54,-4.12
2023-01-13 07:00:00,1.61,-9.95
2023-01-13 08:00:00,,1.67
2023-01-13 09:00:00,1.78,-43.60
2023-01-13 10:00:00,1.61,-13.90
2023-01-13 11:00:00,1.55,1.67
2023-01-13 12:00:00,,1.64
2023-01-13 13:00:00,1.62,-11.23
2023-01-13 14:00:00,1.44,23.06
2023-01-13 15:00:00,1.60,-13.18
2023-01-13 16:00:00,1.61,-6.22
2023-01-13 17:00:00,1.63,-6.30
2023-01-13 18:00:00,1.72,-17.98
2023-01-13 19:00:00,1.73,-28.72
2023-01-13 20:00:00,1.65,-8.77
2023-01-13 21:00:00,1.85,-29.14
2023-01-13 22:00:00,1.66,1.76
2023-01-13 23:00:00,1.56,4.73
2023-01-14 00:00:00,1.61,-8.54
2023-01-14 01:00:00,,1.81
2023-01-14 02:00:00,1.81,-41.02
2023-01-14 03:00:00,1.82,-24.87
2023-01-14 04:00:00,1.80,-19.59
2023-01-14 05:00:00,,1.80
2023-01-14 06:00:00,1.83,-24.59
2023-01-14 07:00:00,1.79,1.78
2023-01-14 08:00:00,,1.80
2023-01-14 09:00:00,,1.81
2023-01-14 10:00:00,1.94,-60.33
2023-01-14 11:00:00,1.82,-29.65
2023-01-14 12:00:00,1.82,1.76
2023-01-14 13:00:00,1.72,-20.25
2023-01-14 14:00:00,,1.67
2023-01-14 15:00:00,1.68,-24.22
2023-01-14 16:00:00,1.58,-10.70
2023-01-14 17:00:00,1.55,-6.46
2023-01-14 18:00:00,1.65,-4.29
2023-01-14 19:00:00,1.80,-31.45
2023-01-14 20:00:00,1.85,-43.97
2023-01-14 21:00:00,,1.77
2023-01-14 22:00:00,1.86,-42.31
2023-01-14 23:00:00,,1.76
2023-01-15 00:00:00,1.69,-0.55
2023-01-15 01:00:00,1.83,-26.57
2023-01-15 02:00:00,1.91,-36.53
2023-01-15 03:00:00,1.94,-51.94
2023-01-15 04:00:00,1.96,1.92
2023-01-15 05:00:00,1.97,-35.65
2023-01-15 06:00:00,1.92,-55.37
2023-01-15 07:00:00,,1.96
2023-01-15 08:00:00,2.03,-61.23
2023-01-15 09:00:00,2.03,-53.43
2023-01-15 10:00:00,1.97,-43.82
2023-01-15 11:00:00,2.05,-62.00
2023-01-15 12:00:00,1.95,-45.60
2023-01-15 13:00:00,1.92,-22.48
2023-01-15 14:00:00,1.69,-17.54
2023-01-15 15:00:00,,1.75
2023-01-15 16:00:00,1.74,-15.35
2023-01-15 17:00:00,1.70,-10.53
